Composition,HV
Al0.3CoCrCuFe,180
Al0.5CoCrCuFe,207
Al0.8CoCrCuFe,271
AlCoCrCuFe,407
Al1.3CoCrCuFe,476
Al1.5CoCrCuFe,510
Al1.8CoCrCuFe,557
Al2.0CoCrCuFe,567
Al2.3CoCrCuFe,603
Al2.5CoCrCuFe,624
Al2.8CoCrCuFe,657
Al3.0CoCrCuFe,644
CoCrCu0.5FeNi,172
CoCrCuFeNi,132
CoCrCuFeNi,286
CoCrCuFeNi,286
Al0.3CoCrCuFeNi,180
Al0.5CoCrCuFeNi,210
Al0.5CoCrCuFeNi,300
Al0.5CoCrCuFeNi,225
Al0.5CoCrCuFeNi,215
Al0.8CoCrCuFeNi,270
Al0.8CoCrCuFeNi,270
AlCoCrCuFeNi,406
AlCoCrCuFeNi,472
Al1.3CoCrCuFeNi,470
Al1.5CoCrCuFeNi,506
Al1.8CoCrCuFeNi,650
Al2CoCrCuFeNi,560
Al2.3CoCrCuFeNi,600
Al2.5CoCrCuFeNi,620
Al2.8CoCrCuFeNi,650
Al3CoCrCuFeNi,640
Al0.5B0.2CoCrCuFeNi,415
Al0.5B0.6CoCrCuFeNi,505
Al0.5BCoCrCuFeNi,736
Al0.5CoCrCuFeNiTi0.2,272
Al0.5CoCrCuFeNiTi0.4,321
Al0.5CoCrCuFeNiTi0.6,458
Al0.5CoCrCuFeNiTi0.8,590
Al0.5CoCrCuFeNiTi,636
Al0.5CoCrCuFeNiTi1.2,646
Al0.5CoCrCuFeNiTi1.4,664
Al0.5CoCrCuFeNiTi1.6,657
Al0.5CoCrCuFeNiTi1.8,667
Al0.5CoCrCuFeNiTi2,696
Al0.5CoCrCuFeNiV0.2,204
Al0.5CoCrCuFeNiV0.4,231
Al0.5CoCrCuFeNiV0.6,328
Al0.5CoCrCuFeNiV0.8,447
Al0.5CoCrCuFeNiV1.0,639
Al0.5CoCrCuFeNiV1.2,579
Al0.5CoCrCuFeNiV1.4,577
Al0.5CoCrCuFeNiV1.6,594
Al0.5CoCrCuFeNiV1.8,597
Al0.5CoCrCuFeNiV2.0,587
AlCoFeNi,456
AlCoFeNiTiVZr,790
AlCoCuFeNi,536
AlCoCuFeNbNi,578
AlCoCuFeNiSi,682
AlCoCuFeNiTi,626
AlCoCuFeNiZr,472
CoCuFeMnNi,208
CoCuFeMnNiSn0.03,192
CoCuFeMnNiSn0.05,205
CoCuFeMnNiSn0.08,219
CoCuFeMnNiSn0.10,253
CoCuFeMnNiSn0.20,319
CrCuFeMnNi,296
CrCuFeMoNi,263
AlCrCuFeNi0.6,496
AlCrCuFeNi0.8,486
AlCrCuFeNi,495
AlCrCuFeNi1.2,407
AlCrCuFeNi1.4,367
AlCrCuFeNi,342
Al1.125CuFe0.75NiTi1.125,516
Al22.5Cu20Fe15Ni20Ti22.5,516
AlCuFeNiTi,516
AlCuNiTi,537
AlLiMg0.5ScTi1.5,591
Al0.4Hf0.6NbTaTiZr,500
Al0.3HfNbTaTiZr,353
Al0.5HfNbTaTiZr,396
Al0.75HfNbTaTiZr,427
AlMo0.5NbTa0.5TiZr,591
Al0.25MoNbTiV,460
Al0.5MoNbTiV,487
Al0.75MoNbTiV,517
AlMoNbTiV,537
Al0.3NbTa0.8Ti1.4V0.2Zr1.3[52],500
Al0.5NbTa0.8Ti1.5V0.2Zr,530
Al0.3NbTaTi1.4Zr1.3,490
AlNb1.5Ta0.5Ti1.5Zr0.5,408
AlNbTiV,448
CrHfNbTiZr,464
CrMo0.5NbTa0.5TiZr,540
CrNbTiVZr,482
CrNbTiZr,418
FeMoNiTiVZr,740
Hf0.5Mo0.5NbTiZr,400
Hf0.5Mo0.5NbSi0.1TiZr,442
Hf0.5Mo0.5NbSi0.3TiZr,494
Hf0.5Mo0.5NbSi0.5TiZr,524
Hf0.5Mo0.5NbSi0.7TiZr,580
Hf0.5Mo0.5NbSi0.9TiZr,640
HfMo0.25NbTaTiZr,395
HfMo0.5NbTaTiZr,480
HfMo0.75NbTaTiZr,492
HfMoNbTaTiZr,505
HfMoTaTiZr,542
HfNbSi0.5TiV,490
HfNbSi0.5TiVZr,464
HfNbTaZr,365
Hf0.5Nb0.5Ta0.5Ti1.5Zr,301
HfNbTaTiZr,335
HfNbTaTiZr,295
HfNbTaTiZr,390
HfNbTiVZr,388
MoNbTaV,504
MoNbTaVW,536
MoNbTaW,454
MoNbTiV,441
NbTaVW,492
NbTaTiVW,447
NbTiVZr,335
NbTiV2Zr,304
CoCrCuFeNiTiVZr,680
CoCrFeMoNiTiVZr,850
CoCuFeNiTiVZr,630
CoFeNiV,238
CoFeMo0.2NiV,267
CoFeMo0.4NiV,402
CoFeMo0.6NiV,557
CoFeMo0.8NiV,606
CoFeMoNiV,625
CoFeMoNi1.2V,602
CoFeMoNi1.4V,538
CoFeMoNi1.6V,520
CoFeMoNi1.8V,510
CoFeMoNi2V,382
CoFeMoNiTiVZr,790
CuFeNiTiVZr,590
AlFeNiTiVZr,800
(CuMnNi)75Zn25,147
(CuMnNi)80Zn20,109
(CuMnNi)90Al10,241
(CuMnNi)90Sn10,318
(CuMnNi)95Al5,166
(CuMnNi)95Sn5,205
